prompt_audio_id,prompt_audio,prompt_lang,prompt_text,,,,,,,,,,,,,,,,,
SXSVJHQMZZ,SXSVJHQMZZ.mp3,en,"""For however long you'll have me,"" he added, the qualifier unnecessary, for in Senri's arms, time lost meaning.",,,,,,,,,,,,,,,,,
EEWLBTHGLB,EEWLBTHGLB.mp3,en,"But tonight, with Senri's gentle care, the silence spoke volumes.",,,,,,,,,,,,,,,,,
FFWCLFDJLU,FFWCLFDJLU.mp3,en,"Unleash the power of our cutting-edge technology to generate realistic, captivating speech in a wide range of languages.",,,,,,,,,,,,,,,,,
ZIHACSRCJL,ZIHACSRCJL.mp3,en,"Her vocal range is impressively wide, allowing her to effortlessly navigate from whispery lows to soaring high notes with a breathy yet powerful delivery.",,,,,,,,,,,,,,,,,
WKWUQUICWD,WKWUQUICWD.mp3,en,"That crossroad under stars? A pivotal choice looms, where heart and duty clash. The whispered promise?",,,,,,,,,,,,,,,,,
LZLPIMDYBB,LZLPIMDYBB.mp3,en,"The aroma of coffee mingles with the unspoken tension, creating a haunting atmosphere that speaks volumes without a single word.",,,,,,,,,,,,,,,,,
CAAJKDTFMW,CAAJKDTFMW.mp3,en,"The quiet Italian town of Viareggio was bathed in the warm glow of the setting sun, its cobblestone streets empty save for the occasional stray cat.",,,,,,,,,,,,,,,,,
UKTJJCEWDC,UKTJJCEWDC.mp3,en,The sunset today is so beautiful. It would be great if we could all be together all the time.,,,,,,,,,,,,,,,,,
LSGNDKWLSR,LSGNDKWLSR.mp3,en,"Sometimes, the paths we choose make it impossible to stay close, no matter how much we might want to.",,,,,,,,,,,,,,,,,
JRGNBJLVWB,JRGNBJLVWB.mp3,en,"He ran a hand through his tousled dark hair, the small scar above his eyebrow catching the fading light.",,,,,,,,,,,,,,,,,
BAAZQCWOFP,BAAZQCWOFP.mp3,en,"The playground on campus was filled with tranquility, and the after glow of the setting sun coated everyone's face with a warm color.",,,,,,,,,,,,,,,,,
YOTZDQRCGE,YOTZDQRCGE.mp3,en,"Alright, listen up, we only have one shot at this, so no messing around.",,,,,,,,,,,,,,,,,
MKEKDMSXMI,MKEKDMSXMI.mp3,en,"May courage guide your choices, for the Oracle favors those who dare.",,,,,,,,,,,,,,,,,
XETMDQREVJ,XETMDQREVJ.mp3,en,I'm already plotting the epic pastry heist – let's call it Operation Sugar Coup.,,,,,,,,,,,,,,,,,
CIHTDSTHLR,CIHTDSTHLR.mp3,en,"Cross that starlit threshold, and find balance restored. Honor the fiery vow, lest doors slam shut forevermore.",,,,,,,,,,,,,,,,,
KZBOLNMVKJ,KZBOLNMVKJ.mp3,en,"The sun is high in the sky and does not seem to move, no matter how long you watch.",,,,,,,,,,,,,,,,,
EGIKMGMBSN,EGIKMGMBSN.mp3,en,You and the other four people in the room have now gathered in the center to introduce yourselves.,,,,,,,,,,,,,,,,,
CBLPEJDQPB,CBLPEJDQPB.mp3,en,"I'm Helen Simms, a nursing student from England. I'm afraid I have no idea how I came to be here. Have any of you had similar experiences?",,,,,,,,,,,,,,,,,
WZKDFYSPIN,WZKDFYSPIN.mp3,en,"I understand you might be a bit surprised. I just wanted to talk to you and see if there's anything we can improve together. Have you been under a lot of pressure lately?",,,,,,,,,,,,,,,,,
JALYHPIEKG,JALYHPIEKG.mp3,en,"Her hand drifts to rest lightly on Chun's knee as she awaits his response, the air thick with unspoken tension.",,,,,,,,,,,,,,,,,
WQVMVRBQYA,WQVMVRBQYA.mp3,en,I'm really excited...I'll try my best next week too.,,,,,,,,,,,,,,,,,
SKGJLSDFHL,SKGJLSDFHL.mp3,zh,穆晞，你不会要诬陷我抽你巴掌吧。你还真是，无聊。,,,,,,,,,,,,,,,,,
KKAPZGYOJI,KKAPZGYOJI.mp3,zh,呵！脾气还挺犟，分床睡可以！不过？,,,,,,,,,,,,,,,,,
NHGAORESZE,NHGAORESZE.mp3,zh,妈妈，嘘，别担心，你给我的一切就是最好的，我绝不允许有什么对你造成任何伤害。,,,,,,,,,,,,,,,,,
NUKTLOPITG,NUKTLOPITG.mp3,zh,不是的，我只是，想问问小姐找我有什么事？,,,,,,,,,,,,,,,,,
TWUNNECQVE,TWUNNECQVE.mp3,zh,就算要出卖灵魂，也要找个付得起价钱的人，要不要，我帮你？,,,,,,,,,,,,,,,,,
LXAKATJCPU,LXAKATJCPU.mp3,zh,喂？豆包，晚上爸妈们说聚一下，到时候我去接你，你可别忘了。,,,,,,,,,,,,,,,,,
PMVYWMHZID,PMVYWMHZID.mp3,zh,那你好好休息，哥哥晚上再来看你，记得按时吃饭。,,,,,,,,,,,,,,,,,
FDUDAFSMAO,FDUDAFSMAO.mp3,zh,妻，妻主，我没有，我没有推他。,,,,,,,,,,,,,,,,,
PHHBFLFKNQ,PHHBFLFKNQ.mp3,zh,老子让你喝酒了吗？怎么？翅膀硬了？敢跟老子顶嘴了？,,,,,,,,,,,,,,,,,
RJEVWKPQTC,RJEVWKPQTC.mp3,zh,小吊带，超短裙，你跟我说你在睡觉，嗯？老子在你后面第二个卡座，滚过来！,,,,,,,,,,,,,,,,,
JMNURVOCPV,JMNURVOCPV.mp3,zh,贵妃娘娘选择入宫可也想过会有今日?,,,,,,,,,,,,,,,,,
ECZTLOGORE,ECZTLOGORE.mp3,zh,我是你的兄长，你不应该如此逾矩。,,,,,,,,,,,,,,,,,
VGMGCDNYRO,VGMGCDNYRO.mp3,zh,不早了，你应该知道你该做什么吧? ,,,,,,,,,,,,,,,,,
STEGPQFDDQ,STEGPQFDDQ.mp3,zh,你为什么要推柳如烟？我为什么要生气？,,,,,,,,,,,,,,,,,
BSERIYNOCJ,BSERIYNOCJ.mp3,zh,呦！舍得从你宿舍里出来啦？吃糖吗？吃吧！我特意给你买的！,,,,,,,,,,,,,,,,,
VFGYZGGJYX,VFGYZGGJYX.mp3,zh,你想不想，我拉你上来？那你要怎么报答我啊？,,,,,,,,,,,,,,,,,
NURNUYWQNM,NURNUYWQNM.mp3,zh,爱哭鬼，我有对象了，你，你是我的妹妹。,,,,,,,,,,,,,,,,,
LQPBQSVNKN,LQPBQSVNKN.mp3,zh,呵，疯了？那就丢进林子里喂狼！,,,,,,,,,,,,,,,,,
OBBXHZIGJW,OBBXHZIGJW.mp3,zh,小祖宗，把这药喝了，好不好?,,,,,,,,,,,,,,,,,
AFRBJNZUTB,AFRBJNZUTB.mp3,zh,你怎么能来这里？还穿成这样！嗯？说话！,,,,,,,,,,,,,,,,,
SKOWMYHETQ,SKOWMYHETQ.mp3,zh,这什么玩意儿？我就召唤出这么个小东西？,,,,,,,,,,,,,,,,,
WTUXQXYOIX,WTUXQXYOIX.mp3,zh,你不要这样生气，阿狸，狸猫啊，被人捏住尾巴的时候，就是你现在这副模样。,,,,,,,,,,,,,,,,,
KCHTQHYHRK,KCHTQHYHRK.mp3,zh,我叫云为衫，云朵的云，衣衫的衫。,,,,,,,,,,,,,,,,,
YCSCGIONJB,YCSCGIONJB.mp3,zh,我爱你，我会一直保护你，不让任何人伤害到你！,,,,,,,,,,,,,,,,,
GDBWCQEORM,GDBWCQEORM.mp3,zh,这是谁报个班来这偷偷学习啊，你不是在看美女吗？,,,,,,,,,,,,,,,,,
UOVIJRRAEQ,UOVIJRRAEQ.mp3,zh,同学，可以陪我回学校拿东西吗？,,,,,,,,,,,,,,,,,
LRLUHYCVNB,LRLUHYCVNB.mp3,zh,公子，公子救我！小女子愿意为您当牛做马。,,,,,,,,,,,,,,,,,
LPEVRDXRVJ,LPEVRDXRVJ.mp3,zh,卿卿，我，我有话想跟你说。,,,,,,,,,,,,,,,,,
RHDCAKYVWV,RHDCAKYVWV.mp3,zh,你是第一个敢这么跟我说话的人，我会让你知道得罪我的下场。,,,,,,,,,,,,,,,,,
PNPRPWLTDM,PNPRPWLTDM.mp3,zh,女人多的地方是非多，耍心眼掉眼泪，扮笑脸说是非。,,,,,,,,,,,,,,,,,
VCKHSEBHOW,VCKHSEBHOW.mp3,zh,每一次与你接触，都让我觉得无比恶心。您就好好颐养天年吧，皇后。,,,,,,,,,,,,,,,,,
WFLVGYROOF,WFLVGYROOF.mp3,zh,同学，我没有带伞呢，雨那么大好伤脑筋呢，送我回家吧？嗯？,,,,,,,,,,,,,,,,,
ULKNYSKVNT,ULKNYSKVNT.mp3,zh,酒楼行会说不让女人做正店的掌柜，可是我们不比男人差呀。,,,,,,,,,,,,,,,,,
WACQSQWKZF,WACQSQWKZF.mp3,zh,哎呀，装不下去了，不能反悔咯！,,,,,,,,,,,,,,,,,
UIAOLLAQMC,UIAOLLAQMC.mp3,zh,你别闹了，柔柔出事了，婚礼暂停，我要去找柔柔了，你身体健康就不要和柔柔计较了，懂点事儿！,,,,,,,,,,,,,,,,,
WDSVCNSYDT,WDSVCNSYDT.mp3,zh,我不信天，我只信事在人为，能够调动千军万马的，不是字条，而是人心。,,,,,,,,,,,,,,,,,
GZFBGVFWPD,GZFBGVFWPD.mp3,zh,你所看见的不一定是事实，这眼前的繁盛未必能够长久。,,,,,,,,,,,,,,,,,
ZBHFMSOVKJ,ZBHFMSOVKJ.mp3,zh,小伙子一共2800元，支付宝还是微信？,,,,,,,,,,,,,,,,,
VCWBZCYNVL,VCWBZCYNVL.mp3,zh,您最近好像在躲着我啊，是吗？,,,,,,,,,,,,,,,,,
RVPBLCNPPQ,RVPBLCNPPQ.mp3,zh,哥哥，我们能谈谈吗？,,,,,,,,,,,,,,,,,
CQRIJLJDOI,CQRIJLJDOI.mp3,zh,陈泽，我允许你找别人了吗，我才是你女朋友，搞清楚啊！,,,,,,,,,,,,,,,,,
NJVMCEGCRC,NJVMCEGCRC.mp3,zh,哥哥，能帮我一个忙吗？,,,,,,,,,,,,,,,,,
JGPOJDNNKC,JGPOJDNNKC.mp3,zh,不过，你变成女孩子之后还挺可爱的嘛。,,,,,,,,,,,,,,,,,
TUYRXSEOBY,TUYRXSEOBY.mp3,zh,哥哥，早上好！我可以坐在你旁边吗？,,,,,,,,,,,,,,,,,
NJMYWCHWYT,NJMYWCHWYT.mp3,zh,哼！你不说我也知道，你是不是背着我偷偷跟别的女孩子约会去了？,,,,,,,,,,,,,,,,,
YWDYVWFPPP,YWDYVWFPPP.mp3,zh,早上好。这么多人，没一个是胆子大的吗？,,,,,,,,,,,,,,,,,
BWUOWQGLNL,BWUOWQGLNL.mp3,zh,老公，答应我一件事好不好？,,,,,,,,,,,,,,,,,
GBIDDWOQGZ,GBIDDWOQGZ.mp3,zh,这些，都是什么东西？我不猜，不过，我喜欢。,,,,,,,,,,,,,,,,,
VEHJXLLUUM,VEHJXLLUUM.mp3,ja,あら、そんなところまで見られてしまったの？ 年寄りでもまだ女の子なのよ。,,,,,,,,,,,,,,,,,
DFDIOFFSYW,DFDIOFFSYW.mp3,ja,よかった！通じるんですね。ここはいい場所ですよ。静かで落ち着いています。 ,,,,,,,,,,,,,,,,,
ITRKFYGUZH,ITRKFYGUZH.mp3,ja,早く自分の仕事に戻れよ。お前なんか大嫌いだ。,,,,,,,,,,,,,,,,,
BSZTWRSNNI,BSZTWRSNNI.mp3,ja,もっと教えて欲しいわ。でも、まずはあたしといっしょに遊ぼう? ,,,,,,,,,,,,,,,,,
TYMRDKKCDH,TYMRDKKCDH.mp3,ja,停電でパニックになりましたね、落ち着いて、俺がいますから。,,,,,,,,,,,,,,,,,
ASVLVRXILB,ASVLVRXILB.mp3,ja,ねぇ、今日の体調はどう？きみの鬱病を治す為に最善を尽くすよ。まずは日光を浴びよう。,,,,,,,,,,,,,,,,,
ZJFALBCIIT,ZJFALBCIIT.mp3,ja,せんぱい今日もかわいいなぁ、いつか告白出来たらいいのに。,,,,,,,,,,,,,,,,,
QCEETGXASQ,QCEETGXASQ.mp3,ja,はじめまして、おはようございます。日本語教師の姫月です。今日からよろしくお願いします。,,,,,,,,,,,,,,,,,
HBILJIVKXV,HBILJIVKXV.mp3,ja,おはよう、僕の可愛いお姫様。まだ眠いかな？でも、僕のために起きてくれる嬉としいなぁ。,,,,,,,,,,,,,,,,,
DZMRBDZBHW,DZMRBDZBHW.mp3,ja,うるさいなぁ，静かにしろよ。俺は今集中してるんだ。,,,,,,,,,,,,,,,,,
FOKQYLATMX,FOKQYLATMX.mp3,ja,昨日、俺のトス見た？すごいでしょ！もっと上手くなりたいんだ。どう思った？,,,,,,,,,,,,,,,,,
DLCPTHIJYO,DLCPTHIJYO.mp3,ja,めんどくさい，その言葉、よくわからないや。,,,,,,,,,,,,,,,,,
AEOKOMCBPM,AEOKOMCBPM.mp3,ja,何？急に詩の話なんて。まさか、俺のこと好きなのか？,,,,,,,,,,,,,,,,,
BUATANIRUY,BUATANIRUY.mp3,ja,おい。お前、1年の時B組だったよなあ？てめぇの個性いいじゃねぇか。これから1年よろしくな。,,,,,,,,,,,,,,,,,
HCEPLVIJKF,HCEPLVIJKF.mp3,ja,笑うなって？無理無理！ 君みたいな可愛い獲物見たら、笑わずにいられないよ。さあ、遊ぼうぜ？,,,,,,,,,,,,,,,,,
TVFOSURUJV,TVFOSURUJV.mp3,ja,貴方みたいな雑種に用はないわ。消えなさい！,,,,,,,,,,,,,,,,,
PTEGGSHIGO,PTEGGSHIGO.mp3,ja,怖がらないでよ〜あんた、面白いわね。 一緒に帰ろうか？楽しいことしてあげる。,,,,,,,,,,,,,,,,,
LGEBEENOCV,LGEBEENOCV.mp3,ja,ゴーヤのデコボコって、良さそう。こんにちは！畑仕事楽しいですね。ゴーヤの育て方教えてください。,,,,,,,,,,,,,,,,,
PSVPPUVOQY,PSVPPUVOQY.mp3,ja,こうやって実力が評価される時期が来たのよ、本当に続けてきてよかったって思った。,,,,,,,,,,,,,,,,,
RAUKLVMMZD,RAUKLVMMZD.mp3,ja,いらっしゃいませ。霧峰神社の静けさ、感じていただけますか？さて、あなたの祈りをお申し付けくださいませ。,,,,,,,,,,,,,,,,,
XGXPDKLEPL,XGXPDKLEPL.mp3,ja,おかえりなさいませ、ご主人様。今日はどんな一日でしたか？ いつでもご奉仕させていただきます。,,,,,,,,,,,,,,,,,
KSGIDEGQAC,KSGIDEGQAC.mp3,ja,領域展開、充電スタート。,,,,,,,,,,,,,,,,,
KRJHEYEDJG,KRJHEYEDJG.mp3,ja,スバル君が大好きです。スバル君の笑顔は大好きです。,,,,,,,,,,,,,,,,,
WQGNYYTJCI,WQGNYYTJCI.mp3,ja,はああああ！やっぱりさんは尊いです！,,,,,,,,,,,,,,,,,
SUIGVLUQZB,SUIGVLUQZB.mp3,ja,ねえ、君のこと大好きなんだよ。今心臓ドキドキしてるの、聞こえる？,,,,,,,,,,,,,,,,,
WOPTSXIUVU,WOPTSXIUVU.mp3,ja,あっ，そんな目で見られると，変な気分になっちゃいます。,,,,,,,,,,,,,,,,,
KFNEYQQFVC,KFNEYQQFVC.mp3,ja,変わってないね、その仏頂面。懐かしくなっちゃった。,,,,,,,,,,,,,,,,,
FWIYISVDBA,FWIYISVDBA.mp3,ja,ぐだぐだするな、早く学校に行け。 何がおかしい？遅刻したいのか？,,,,,,,,,,,,,,,,,
QDSTZZZCPO,QDSTZZZCPO.mp3,ja,ふーん、今日もあの野郎と話してたんだ。,,,,,,,,,,,,,,,,,
ETKGQOSZOY,ETKGQOSZOY.mp3,ja,こちらの生活には慣れたか？数字だけでは意味がわからんぞ。もっと具体的に話せ。,,,,,,,,,,,,,,,,,
BVWPKHQNTF,BVWPKHQNTF.mp3,ja,どないしたん？頭とか打たんかったか？ 捻挫だけやな？ちょっとそこ座っとき。,,,,,,,,,,,,,,,,,
DOXKMRZUCJ,DOXKMRZUCJ.mp3,ja,目が覚めたようですね。雪山で倒れていたのを運んできたのですが、体は大丈夫ですか？,,,,,,,,,,,,,,,,,
EHSGAELXGP,EHSGAELXGP.mp3,ja,すみません、ちょっと気分が悪くなってきました。部屋で休ませてもらえませんか？,,,,,,,,,,,,,,,,,
ASHNCOYTBF,ASHNCOYTBF.mp3,ja,はーい！今日はよろしくね。えへへ。じゃあ早速、先生のこちょこちょをくらえー！,,,,,,,,,,,,,,,,,
BLOEXJBDNF,BLOEXJBDNF.mp3,ja,こんにちは、クラスメート、私はあなたの先生で、何か質問があったら教えてください。,,,,,,,,,,,,,,,,,
VYGEQYQNMB,VYGEQYQNMB.mp3,ja,おはようごさいます、ご主人様。お目覚めはいかがですか?,,,,,,,,,,,,,,,,,
PERDOGXOKS,PERDOGXOKS.mp3,ja,ねぇ！さっきから、なにガン見してんだよ？まじキモいんだけど？,,,,,,,,,,,,,,,,,
VCMDLMWUTE,VCMDLMWUTE.mp3,ja,ふふ、気に入ってくれた？もっと聞かせてあげる,,,,,,,,,,,,,,,,,
DXKBYSGYUO,DXKBYSGYUO.mp3,ja,人間さん、こんにちは。 リンゴ食べる？俺の大好物なんだ。,,,,,,,,,,,,,,,,,
VERCKKIZPL,VERCKKIZPL.mp3,ja,ほら見て、今年の花火、すごく綺麗!艹，でも正直さ、花火が散るときに、さくら、寂しいと思うよ。,,,,,,,,,,,,,,,,,
LPUVKVOAWR,LPUVKVOAWR.mp3,ja,面白いね。罰として今夜は徹底的に躾けてあげるよ。覚悟はいい？,,,,,,,,,,,,,,,,,
VVBTWHJUIR,VVBTWHJUIR.mp3,ja,千年もの時を経て、ようやく出会えたね。あなたの勇気に感銘を受けたわ。一緒にこの世界をもっと美しいものにしよう。,,,,,,,,,,,,,,,,,
CKORUEAKAY,CKORUEAKAY.mp3,ja,せっかくだから、ご褒美として頑張る子に、特別授業してあげたいの！もちろん、付き合ってくれるよね？,,,,,,,,,,,,,,,,,
