prompt_audio_id,prompt_audio,prompt_lang,prompt_text,gpt,sovits,,,,,,,,,,,,,,,
KHTAFHMTRI,KHTAFHMTRI.wav,en,"You've been my most diligent servant these past months. Tonight, I require more than just your cleaning skills.",,,,,,,,,,,,,,,,,
SXSVJHQMZZ,SXSVJHQMZZ.wav,en,"""For however long you'll have me,"" he added, the qualifier unnecessary, for in Senri's arms, time lost meaning.",,,,,,,,,,,,,,,,,
EEWLBTHGLB,EEWLBTHGLB.wav,en,"But tonight, with Senri's gentle care, the silence spoke volumes.",,,,,,,,,,,,,,,,,
FFWCLFDJLU,FFWCLFDJLU.wav,en,"Unleash the power of our cutting-edge technology to generate realistic, captivating speech in a wide range of languages.",,,,,,,,,,,,,,,,,
ZIHACSRCJL,ZIHACSRCJL.wav,en,"Her vocal range is impressively wide, allowing her to effortlessly navigate from whispery lows to soaring high notes with a breathy yet powerful delivery.",,,,,,,,,,,,,,,,,
WKWUQUICWD,WKWUQUICWD.wav,en,"That crossroad under stars? A pivotal choice looms, where heart and duty clash. The whispered promise?",,,,,,,,,,,,,,,,,
LZLPIMDYBB,LZLPIMDYBB.wav,en,"The aroma of coffee mingles with the unspoken tension, creating a haunting atmosphere that speaks volumes without a single word.",,,,,,,,,,,,,,,,,
CAAJKDTFMW,CAAJKDTFMW.wav,en,"The quiet Italian town of Viareggio was bathed in the warm glow of the setting sun, its cobblestone streets empty save for the occasional stray cat.",,,,,,,,,,,,,,,,,
UKTJJCEWDC,UKTJJCEWDC.wav,en,The sunset today is so beautiful. It would be great if we could all be together all the time.,,,,,,,,,,,,,,,,,
LSGNDKWLSR,LSGNDKWLSR.wav,en,"Sometimes, the paths we choose make it impossible to stay close, no matter how much we might want to.",,,,,,,,,,,,,,,,,
JRGNBJLVWB,JRGNBJLVWB.wav,en,"He ran a hand through his tousled dark hair, the small scar above his eyebrow catching the fading light.",,,,,,,,,,,,,,,,,
BAAZQCWOFP,BAAZQCWOFP.wav,en,"The playground on campus was filled with tranquility, and the after glow of the setting sun coated everyone's face with a warm color.",,,,,,,,,,,,,,,,,
YOTZDQRCGE,YOTZDQRCGE.wav,en,"Alright, listen up, we only have one shot at this, so no messing around.",,,,,,,,,,,,,,,,,
MKEKDMSXMI,MKEKDMSXMI.wav,en,"May courage guide your choices, for the Oracle favors those who dare.",,,,,,,,,,,,,,,,,
XETMDQREVJ,XETMDQREVJ.wav,en,I'm already plotting the epic pastry heist – let's call it Operation Sugar Coup.,,,,,,,,,,,,,,,,,
CIHTDSTHLR,CIHTDSTHLR.wav,en,"Cross that starlit threshold, and find balance restored. Honor the fiery vow, lest doors slam shut forevermore.",,,,,,,,,,,,,,,,,
KZBOLNMVKJ,KZBOLNMVKJ.wav,en,"The sun is high in the sky and does not seem to move, no matter how long you watch.",,,,,,,,,,,,,,,,,
EGIKMGMBSN,EGIKMGMBSN.wav,en,You and the other four people in the room have now gathered in the center to introduce yourselves.,,,,,,,,,,,,,,,,,
CBLPEJDQPB,CBLPEJDQPB.wav,en,"I'm Helen Simms, a nursing student from England. I'm afraid I have no idea how I came to be here. Have any of you had similar experiences?",,,,,,,,,,,,,,,,,
WZKDFYSPIN,WZKDFYSPIN.wav,en,"Do you wish to know the truth about the shooting stars at night? Ha Ha, they are but fleeting moments of luminosity.",,,,,,,,,,,,,,,,,
JALYHPIEKG,JALYHPIEKG.wav,en,"Her hand drifts to rest lightly on Chun's knee as she awaits his response, the air thick with unspoken tension.",,,,,,,,,,,,,,,,,
WQVMVRBQYA,WQVMVRBQYA.wav,en,I'm really excited...I'll try my best next week too.,,,,,,,,,,,,,,,,,
SKGJLSDFHL,SKGJLSDFHL.wav,zh,穆晞，你不会要诬陷我抽你巴掌吧。你还真是，无聊。,,,,,,,,,,,,,,,,,
KKAPZGYOJI,KKAPZGYOJI.wav,zh,呵！脾气还挺犟，分床睡可以！不过？,,,,,,,,,,,,,,,,,
NHGAORESZE,NHGAORESZE.wav,zh,妈妈，嘘，别担心，你给我的一切就是最好的，我绝不允许有什么对你造成任何伤害。,,,,,,,,,,,,,,,,,
NUKTLOPITG,NUKTLOPITG.wav,zh,不是的，我只是，想问问小姐找我有什么事？,,,,,,,,,,,,,,,,,
TWUNNECQVE,TWUNNECQVE.wav,zh,就算要出卖灵魂，也要找个付得起价钱的人，要不要，我帮你？,,,,,,,,,,,,,,,,,
LXAKATJCPU,LXAKATJCPU.wav,zh,喂？豆包，晚上爸妈们说聚一下，到时候我去接你，你可别忘了。,,,,,,,,,,,,,,,,,
PMVYWMHZID,PMVYWMHZID.wav,zh,那你好好休息，哥哥晚上再来看你，记得按时吃饭。,,,,,,,,,,,,,,,,,
FDUDAFSMAO,FDUDAFSMAO.wav,zh,妻，妻主，我没有，我没有推他。,,,,,,,,,,,,,,,,,
PHHBFLFKNQ,PHHBFLFKNQ.wav,zh,老子让你喝酒了吗？怎么？翅膀硬了？敢跟老子顶嘴了？,,,,,,,,,,,,,,,,,
RJEVWKPQTC,RJEVWKPQTC.wav,zh,小吊带，超短裙，你跟我说你在睡觉，嗯？老子在你后面第二个卡座，滚过来！,,,,,,,,,,,,,,,,,
JMNURVOCPV,JMNURVOCPV.wav,zh,贵妃娘娘选择入宫可也想过会有今日?,,,,,,,,,,,,,,,,,
ECZTLOGORE,ECZTLOGORE.wav,zh,我是你的兄长，你不应该如此逾矩。,,,,,,,,,,,,,,,,,
VGMGCDNYRO,VGMGCDNYRO.wav,zh,不早了，你应该知道你该做什么吧?,,,,,,,,,,,,,,,,,
STEGPQFDDQ,STEGPQFDDQ.wav,zh,你为什么要推柳如烟？我为什么要生气？,,,,,,,,,,,,,,,,,
BSERIYNOCJ,BSERIYNOCJ.wav,zh,呦！舍得从你宿舍里出来啦？吃糖吗？吃吧！我特意给你买的！,,,,,,,,,,,,,,,,,
VFGYZGGJYX,VFGYZGGJYX.wav,zh,你想不想，我拉你上来？那你要怎么报答我啊？,,,,,,,,,,,,,,,,,
NURNUYWQNM,NURNUYWQNM.wav,zh,爱哭鬼，我有对象了，你，你是我的妹妹。,,,,,,,,,,,,,,,,,
LQPBQSVNKN,LQPBQSVNKN.wav,zh,呵，疯了？那就丢进林子里喂狼！,,,,,,,,,,,,,,,,,
OBBXHZIGJW,OBBXHZIGJW.wav,zh,小祖宗，把这药喝了，好不好?,,,,,,,,,,,,,,,,,
AFRBJNZUTB,AFRBJNZUTB.wav,zh,你怎么能来这里？还穿成这样！嗯？说话！,,,,,,,,,,,,,,,,,
SKOWMYHETQ,SKOWMYHETQ.wav,zh,这什么玩意儿？我就召唤出这么个小东西？,,,,,,,,,,,,,,,,,
WTUXQXYOIX,WTUXQXYOIX.wav,zh,你不要这样生气，阿狸，狸猫啊，被人捏住尾巴的时候，就是你现在这副模样。,,,,,,,,,,,,,,,,,
KCHTQHYHRK,KCHTQHYHRK.wav,zh,我叫云为衫，云朵的云，衣衫的衫。,,,,,,,,,,,,,,,,,
YCSCGIONJB,YCSCGIONJB.wav,zh,我爱你，我会一直保护你，不让任何人伤害到你！,,,,,,,,,,,,,,,,,
GDBWCQEORM,GDBWCQEORM.wav,zh,这是谁报个班来这偷偷学习啊，你不是在看美女吗？,,,,,,,,,,,,,,,,,
UOVIJRRAEQ,UOVIJRRAEQ.wav,zh,同学，可以陪我回学校拿东西吗？,,,,,,,,,,,,,,,,,
LRLUHYCVNB,LRLUHYCVNB.wav,zh,公子，公子救我！小女子愿意为您当牛做马。,,,,,,,,,,,,,,,,,
LPEVRDXRVJ,LPEVRDXRVJ.wav,zh,卿卿，我，我有话想跟你说。,,,,,,,,,,,,,,,,,
RHDCAKYVWV,RHDCAKYVWV.wav,zh,你是第一个敢这么跟我说话的人，我会让你知道得罪我的下场。,,,,,,,,,,,,,,,,,
PNPRPWLTDM,PNPRPWLTDM.wav,zh,女人多的地方是非多，耍心眼掉眼泪，扮笑脸说是非。,,,,,,,,,,,,,,,,,
VCKHSEBHOW,VCKHSEBHOW.wav,zh,每一次与你接触，都让我觉得无比恶心。您就好好颐养天年吧，皇后。,,,,,,,,,,,,,,,,,
WFLVGYROOF,WFLVGYROOF.wav,zh,同学，我没有带伞呢，雨那么大好伤脑筋呢，送我回家吧？嗯？,,,,,,,,,,,,,,,,,
ULKNYSKVNT,ULKNYSKVNT.wav,zh,酒楼行会说不让女人做正店的掌柜，可是我们不比男人差呀。,,,,,,,,,,,,,,,,,
WACQSQWKZF,WACQSQWKZF.wav,zh,哎呀，装不下去了，不能反悔咯！,,,,,,,,,,,,,,,,,
UIAOLLAQMC,UIAOLLAQMC.wav,zh,你别闹了，柔柔出事了，婚礼暂停，我要去找柔柔了，你身体健康就不要和柔柔计较了，懂点事儿！,,,,,,,,,,,,,,,,,
WDSVCNSYDT,WDSVCNSYDT.wav,zh,我不信天，我只信事在人为，能够调动千军万马的，不是字条，而是人心。,,,,,,,,,,,,,,,,,
GZFBGVFWPD,GZFBGVFWPD.wav,zh,你所看见的不一定是事实，这眼前的繁盛未必能够长久。,,,,,,,,,,,,,,,,,
ZBHFMSOVKJ,ZBHFMSOVKJ.wav,zh,小伙子一共2800元，支付宝还是微信？,,,,,,,,,,,,,,,,,
VCWBZCYNVL,VCWBZCYNVL.wav,zh,您最近好像在躲着我啊，是吗？,,,,,,,,,,,,,,,,,
RVPBLCNPPQ,RVPBLCNPPQ.wav,zh,哥哥，我们能谈谈吗？,,,,,,,,,,,,,,,,,
CQRIJLJDOI,CQRIJLJDOI.wav,zh,陈泽，我允许你找别人了吗，我才是你女朋友，搞清楚啊！,,,,,,,,,,,,,,,,,
NJVMCEGCRC,NJVMCEGCRC.wav,zh,哥哥，能帮我一个忙吗？,,,,,,,,,,,,,,,,,
JGPOJDNNKC,JGPOJDNNKC.wav,zh,不过，你变成女孩子之后还挺可爱的嘛。,,,,,,,,,,,,,,,,,
TUYRXSEOBY,TUYRXSEOBY.wav,zh,哥哥，早上好！我可以坐在你旁边吗？,,,,,,,,,,,,,,,,,
NJMYWCHWYT,NJMYWCHWYT.wav,zh,哼！你不说我也知道，你是不是背着我偷偷跟别的女孩子约会去了？,,,,,,,,,,,,,,,,,
YWDYVWFPPP,YWDYVWFPPP.wav,zh,早上好。这么多人，没一个是胆子大的吗？,,,,,,,,,,,,,,,,,
BWUOWQGLNL,BWUOWQGLNL.wav,zh,老公，答应我一件事好不好？,,,,,,,,,,,,,,,,,
GBIDDWOQGZ,GBIDDWOQGZ.wav,zh,这些，都是什么东西？我不猜，不过，我喜欢。,,,,,,,,,,,,,,,,,
FJTJKJUOGV,FJTJKJUOGV.wav,zh,只可惜我不能久居于此，不然我的刀就变钝了。,枫原万叶-e10.ckpt,枫原万叶_e10_s290.pth,,,,,,,,,,,,,,,
AVKLTOEUVL,AVKLTOEUVL.wav,zh,如果是说踏鞴砂那个神秘事件与倾奇者之类的，我知道哦。,纳西妲-e10.ckpt,纳西妲_e10_s400.pth,,,,,,,,,,,,,,,
ZAWYSHIZAP,ZAWYSHIZAP.wav,zh,哎呀，本堂主略施小计，你就败下阵来了，嘿嘿。,胡桃-e10.ckpt,胡桃_e10_s210.pth,,,,,,,,,,,,,,,
BKAUCUSCAE,BKAUCUSCAE.wav,zh,太普通了！哼，这种缺乏特色的料理得不到我的认可！,芙宁娜-e10.ckpt,芙宁娜_e10_s290.pth,,,,,,,,,,,,,,,
RGLTWQREGP,RGLTWQREGP.wav,zh,希望她能感受到，这种喜爱并非虚假之物。,那维莱特-e10.ckpt,那维莱特_e10_s280.pth,,,,,,,,,,,,,,,
WPZPFZCARW,WPZPFZCARW.wav,zh,无事逢客休，席上校两棋…我们开局吧。,钟离-e10.ckpt,钟离_e10_s1120.pth,,,,,,,,,,,,,,,
DRDIFVGCBX,DRDIFVGCBX.wav,zh,我此番也是受神子之邀，体验一下市井游乐的氛围，和各位并无二致。,雷电将军-e10.ckpt,雷电将军_e10_s210.pth,,,,,,,,,,,,,,,
LHRNUKMVGP,LHRNUKMVGP.wav,zh,你的愿望，我俱已知晓。轻策庄下，确有魔神残躯。,魈-e10.ckpt,魈_e10_s600.pth,,,,,,,,,,,,,,,
DFDIOFFSYW,DFDIOFFSYW.wav,ja,よかった！通じるんですね。ここはいい場所ですよ。静かで落ち着いています。,,,,,,,,,,,,,,,,,
ITRKFYGUZH,ITRKFYGUZH.wav,ja,早く自分の仕事に戻れよ。お前なんか大嫌いだ。,,,,,,,,,,,,,,,,,
BSZTWRSNNI,BSZTWRSNNI.wav,ja,もっと教えて欲しいわ。でも、まずはあたしといっしょに遊ぼう?,,,,,,,,,,,,,,,,,
TYMRDKKCDH,TYMRDKKCDH.wav,ja,停電でパニックになりましたね、落ち着いて、俺がいますから。,,,,,,,,,,,,,,,,,
ASVLVRXILB,ASVLVRXILB.wav,ja,ねぇ、今日の体調はどう？きみの鬱病を治す為に最善を尽くすよ。まずは日光を浴びよう。,,,,,,,,,,,,,,,,,
ZJFALBCIIT,ZJFALBCIIT.wav,ja,せんぱい今日もかわいいなぁ、いつか告白出来たらいいのに。,,,,,,,,,,,,,,,,,
HBILJIVKXV,HBILJIVKXV.wav,ja,おはよう、僕の可愛いお姫様。まだ眠いかな？でも、僕のために起きてくれる嬉としいなぁ。,,,,,,,,,,,,,,,,,
DLCPTHIJYO,DLCPTHIJYO.wav,ja,めんどくさい，その言葉、よくわからないや。,,,,,,,,,,,,,,,,,
AEOKOMCBPM,AEOKOMCBPM.wav,ja,何？急に詩の話なんて。まさか、俺のこと好きなのか？,,,,,,,,,,,,,,,,,
BUATANIRUY,BUATANIRUY.wav,ja,おい。お前、1年の時B組だったよなあ？てめぇの個性いいじゃねぇか。これから1年よろしくな。,,,,,,,,,,,,,,,,,
HCEPLVIJKF,HCEPLVIJKF.wav,ja,笑うなって？無理無理！ 君みたいな可愛い獲物見たら、笑わずにいられないよ。さあ、遊ぼうぜ？,,,,,,,,,,,,,,,,,
PSVPPUVOQY,PSVPPUVOQY.wav,ja,こうやって実力が評価される時期が来たのよ、本当に続けてきてよかったって思った。,,,,,,,,,,,,,,,,,
XGXPDKLEPL,XGXPDKLEPL.wav,ja,だが、人々はその事実に気づかない/。,近卫南-e10.ckpt,近卫南_e10_s170.pth,,,,,,,,,,,,,,,
KSGIDEGQAC,KSGIDEGQAC.wav,ja,領域展開、充電スタート。,,,,,,,,,,,,,,,,,
KRJHEYEDJG,KRJHEYEDJG.wav,ja,もしも、先生が悪の行いをしたら。,静山真白-e10.ckpt,静山真白_e10_s130.pth,,,,,,,,,,,,,,,
WQGNYYTJCI,WQGNYYTJCI.wav,ja,はああああ！やっぱりさんは尊いです！,,,,,,,,,,,,,,,,,
WOPTSXIUVU,WOPTSXIUVU.wav,ja,あっ，そんな目で見られると，変な気分になっちゃいます。,,,,,,,,,,,,,,,,,
KFNEYQQFVC,KFNEYQQFVC.wav,ja,変わってないね、その仏頂面。懐かしくなっちゃった。,,,,,,,,,,,,,,,,,
FWIYISVDBA,FWIYISVDBA.wav,ja,ぐだぐだするな、早く学校に行け。 何がおかしい？遅刻したいのか？,,,,,,,,,,,,,,,,,
QDSTZZZCPO,QDSTZZZCPO.wav,ja,ふーん、今日もあの野郎と話してたんだ。,,,,,,,,,,,,,,,,,
ETKGQOSZOY,ETKGQOSZOY.wav,ja,こちらの生活には慣れたか？数字だけでは意味がわからんぞ。もっと具体的に話せ。,,,,,,,,,,,,,,,,,
BVWPKHQNTF,BVWPKHQNTF.wav,ja,どないしたん？頭とか打たんかったか？ 捻挫だけやな？ちょっとそこ座っとき。,,,,,,,,,,,,,,,,,
VYGEQYQNMB,VYGEQYQNMB.wav,ja,おはようごさいます、ご主人様。お目覚めはいかがですか?,,,,,,,,,,,,,,,,,
DXKBYSGYUO,DXKBYSGYUO.wav,ja,人間さん、こんにちは。 リンゴ食べる？俺の大好物なんだ。,,,,,,,,,,,,,,,,,
VERCKKIZPL,VERCKKIZPL.wav,ja,ほら見て、今年の花火、すごく綺麗!艹，でも正直さ、花火が散るときに、さくら、寂しいと思うよ。,,,,,,,,,,,,,,,,,
LPUVKVOAWR,LPUVKVOAWR.wav,ja,面白いね。罰として今夜は徹底的に躾けてあげるよ。覚悟はいい？,,,,,,,,,,,,,,,,,
CKORUEAKAY,CKORUEAKAY.wav,ja,せっかくだから、ご褒美として頑張る子に、特別授業してあげたいの！もちろん、付き合ってくれるよね？,,,,,,,,,,,,,,,,,
VEHJXLLUUM,VEHJXLLUUM.wav,ja,ベンディア68のみんなが着物で写ってる集合写真?,阿露-e10.ckpt,阿露_e10_s280.pth,,,,,,,,,,,,,,,
QCEETGXASQ,QCEETGXASQ.wav,ja,メイドは様々なお仕事をこなすと聞きました。,爱丽丝-e10.ckpt,爱丽丝_e10_s270.pth,,,,,,,,,,,,,,,
DZMRBDZBHW,DZMRBDZBHW.wav,ja,これって大丈夫なのかなぁ?,奥空绫音-e10.ckpt,奥空绫音_e10_s250.pth,,,,,,,,,,,,,,,
FOKQYLATMX,FOKQYLATMX.wav,ja,少し悲しい気持ちになってしまいました。,狐坂若藻-e10.ckpt,狐坂若藻_e10_s150.pth,,,,,,,,,,,,,,,
TVFOSURUJV,TVFOSURUJV.wav,ja,あのゲームの続編が出たらしいけど。,才羽绿-e10.ckpt,才羽绿_e10_s170.pth,,,,,,,,,,,,,,,
PTEGGSHIGO,PTEGGSHIGO.wav,ja,次からは仲良くするんですよ。,春原瞬-e10.ckpt,春原瞬_e10_s170.pth,,,,,,,,,,,,,,,
LGEBEENOCV,LGEBEENOCV.wav,ja,今は主のいない良犬みたいなものだから。,戒野美咲-e10.ckpt,戒野美咲_e10_s180.pth,,,,,,,,,,,,,,,
RAUKLVMMZD,RAUKLVMMZD.wav,ja,一生懸命に汗を流したと言う。,安守实里-e10.ckpt,安守实里_e10_s190.pth,,,,,,,,,,,,,,,
SUIGVLUQZB,SUIGVLUQZB.wav,ja,それだけ、解決できる問題だけにして欲しいな。,佳代子-e10.ckpt,佳代子_e10_s140.pth,,,,,,,,,,,,,,,
DOXKMRZUCJ,DOXKMRZUCJ.wav,ja,でしたらあちらはどうですか,阿慈谷日富美-e10.ckpt,阿慈谷日富美_e10_s150.pth,,,,,,,,,,,,,,,
EHSGAELXGP,EHSGAELXGP.wav,ja,ハロウィンの日になると素敵な騎士のコスプレですねと言われるのです,苍森美弥-e10.ckpt,苍森美弥_e10_s190.pth,,,,,,,,,,,,,,,
ASHNCOYTBF,ASHNCOYTBF.wav,ja,みんなのために料理を作るのは大変ですが,爱清枫香-e10.ckpt,爱清枫香_e10_s250.pth,,,,,,,,,,,,,,,
BLOEXJBDNF,BLOEXJBDNF.wav,ja,便利屋と似ているところがあるように感じる。,鬼方佳代子-e10.ckpt,鬼方佳代子_e10_s160.pth,,,,,,,,,,,,,,,
PERDOGXOKS,PERDOGXOKS.wav,ja,こんな日に私なんかが一緒でいいのか?,白洲梓-e10.ckpt,白洲梓_e10_s180.pth,,,,,,,,,,,,,,,
VCMDLMWUTE,VCMDLMWUTE.wav,ja,うむ。降臨大祭の準備は……。,歌原-e10.ckpt,歌原_e10_s150.pth,,,,,,,,,,,,,,,
VVBTWHJUIR,VVBTWHJUIR.wav,ja,化粧ではなく、熱情さ。,白石歌原-e10.ckpt,白石歌原_e10_s280.pth,,,,,,,,,,,,,,,
